dtg,lat,lng,mag,depth
"1918-12-04 11:47:00",-26.000000,-71.000000,7.80,0
"1918-05-20 17:55:00",-28.500000,-71.500000,7.90,80
"1918-11-18 18:41:00",-7.000000,129.000000,8.10,190
"1918-09-07 17:16:00",45.500000,151.500000,8.30,33
"1918-08-15 12:18:00",5.500000,123.000000,8.30,33
"1919-10-22 06:06:00",41.400000,12.600000,5.60,10
"1919-04-28 06:45:00",13.690000,-89.190000,5.90,0
"1919-06-29 15:06:00",44.000000,11.500000,6.20,33
"1919-06-29 23:14:00",12.330000,-88.291000,6.60,20
"1919-10-03 09:37:00",-16.500000,180.000000,6.90,0
"1919-01-01 01:33:00",8.000000,126.000000,7.40,33
"1919-05-03 00:52:00",40.500000,145.500000,7.60,60
"1919-04-30 07:17:00",-18.352000,-172.515000,8.10,25
"1919-05-06 19:41:00",-4.806000,153.859000,8.20,35
"1919-01-01 02:59:00",-19.500000,-176.500000,8.30,180
"1920-12-18 02:01:00",40.500000,19.500000,5.60,0
"1920-09-07 05:55:00",44.300000,10.300000,5.80,10
"1920-12-17 18:59:00",-32.700000,-68.400000,6.00,10
"1920-02-20 11:44:00",42.000000,44.100000,6.20,11
"1920-11-26 08:51:00",40.200000,20.000000,6.20,25
"1920-08-20 16:15:00",-38.000000,-73.500000,7.00,15
"1920-02-02 11:22:00",-6.500000,150.000000,7.70,60
"1920-01-03 21:48:00",19.260000,-96.970000,7.80,0
"1920-09-20 14:39:00",-19.919000,168.530000,7.80,35
"1920-06-05 04:21:00",23.500000,122.700000,8.00,0
"1920-12-16 12:05:00",36.601000,105.317000,8.30,25
"1921-09-16 00:51:00",3.800000,16.300000,4.80,0
"1921-08-14 13:15:00",15.600000,39.600000,5.90,0
"1921-05-14 11:17:00",0.700000,117.900000,6.20,0
"1921-02-04 08:22:00",15.000000,-91.000000,7.50,120
"1921-11-11 18:36:00",8.000000,127.000000,7.50,60
"1921-09-11 04:01:00",-11.000000,111.000000,7.50,0
"1921-12-18 15:29:00",-2.500000,-71.000000,7.60,650
"1921-04-30 11:04:00",19.700000,-104.300000,7.70,0
"1921-11-15 20:36:00",36.500000,70.500000,7.80,215
"1922-08-25 11:47:00",36.300000,1.300000,5.10,0
"1922-03-24 12:22:00",44.400000,20.400000,6.00,12
"1922-03-01 09:10:00",9.000000,123.250000,6.00,0
"1922-02-27 20:39:00",10.200000,124.100000,6.30,0
"1922-12-25 03:33:00",-43.000000,173.000000,6.30,0
"1922-02-16 03:14:00",11.700000,-70.850000,6.40,0
"1922-01-19 21:58:00",-7.111000,143.530000,6.90,15
"1922-01-06 14:11:00",-16.500000,-73.000000,7.20,33
"1922-10-11 14:49:00",-16.000000,-72.500000,7.40,0
"1922-10-24 21:21:00",47.000000,151.800000,7.50,90
"1922-12-06 13:55:00",36.500000,70.500000,7.50,230
"1922-01-31 13:17:00",41.000000,-125.500000,7.60,0
"1922-09-01 19:16:00",24.500000,122.000000,7.60,0
"1922-01-16 22:50:00",2.500000,-71.000000,7.60,600
"1922-01-17 03:50:00",-2.500000,-71.000000,7.60,650
"1922-11-11 04:32:00",-28.553000,-70.755000,8.70,35
"1923-12-14 10:31:00",1.000000,-77.500000,5.30,0
"1923-02-04 00:00:00",37.600000,57.300000,5.50,10
"1923-07-18 02:24:00",9.300000,125.000000,5.50,0
"1923-05-25 22:21:00",35.200000,59.200000,5.70,0
"1923-09-17 07:09:00",37.200000,57.700000,6.40,0
"1923-02-24 00:25:00",-0.400000,-78.300000,6.80,0
"1923-09-22 20:47:00",29.200000,56.900000,6.90,0
"1923-05-04 22:26:00",-28.750000,-71.750000,7.00,60
"1923-11-04 00:04:00",-4.539000,153.107000,7.10,149
"1923-11-02 21:08:00",-4.653000,154.232000,7.10,145
"1923-04-13 15:31:00",56.500000,162.500000,7.20,20
"1923-01-22 09:04:00",40.800000,-124.500000,7.20,0
"1923-03-02 16:48:00",6.500000,124.000000,7.20,22
"1923-03-24 12:40:00",31.500000,101.000000,7.30,13
"1923-10-07 03:29:00",-1.750000,128.750000,7.50,0
"1923-02-24 07:34:00",55.000000,162.400000,7.70,20
"1923-09-02 02:46:00",34.900000,140.200000,7.70,20
"1923-09-01 02:58:00",35.100000,139.500000,7.90,35
"1923-02-03 16:01:00",54.000000,161.000000,8.30,19
"1924-05-13 01:52:00",39.700000,42.800000,5.30,0
"1924-03-16 00:00:00",35.100000,5.200000,5.60,0
"1924-05-06 16:09:00",16.000000,118.000000,6.50,0
"1924-03-15 10:31:00",49.179000,142.436000,6.80,15
"1924-09-13 14:34:00",40.000000,42.000000,6.80,0
"1924-03-03 08:01:00",-1.600000,-78.600000,6.90,0
"1924-07-03 04:40:00",36.800000,83.800000,7.30,33
"1924-08-30 03:04:00",8.500000,126.500000,7.30,33
"1924-07-24 04:55:00",-49.500000,159.000000,7.50,50
"1924-06-30 15:44:00",44.737000,147.416000,7.60,120
"1924-06-26 01:37:00",-56.000000,157.500000,7.80,0
"1924-04-14 16:20:00",6.500000,126.500000,8.30,33
"1925-12-14 00:00:00",34.600000,58.100000,5.50,0
"1925-12-18 05:53:00",28.500000,51.200000,5.50,0
"1925-01-09 17:38:00",41.200000,42.800000,5.80,0
"1925-10-14 17:05:00",27.000000,100.000000,5.80,0
"1925-08-07 06:46:00",38.000000,30.500000,5.90,0
"1925-05-25 03:43:00",12.200000,122.100000,6.30,10
"1925-06-28 01:21:00",46.400000,-111.240000,6.70,25
